"","GeneId","Descripcion","Ctrl0hr","Ctrl1hr","Encyst1hr","Ctrl4hr","Encyst4hr","Ctrl8hr","Encyst8hr"
"ACA1_181840","ACA1_181840","Ras subfamily protein",55.05,70.9,589.6,63.5,878.1,58.23,898.54
"ACA1_181920","ACA1_181920","hypothetical protein",171.7,184.94,87.21,143.5,102.32,126.82,60.47
"ACA1_181970","ACA1_181970","ribosomal protein S17, putative",3170,3117.93,2697.2,3004.41,2487.14,2678.88,2419.07
"ACA1_182030","ACA1_182030","enoylCoA hydratase/isomerase family domain containing protein",70.6,72.55,15.67,83.43,16.52,91.81,20.18
"ACA1_182100","ACA1_182100","ribosomal protein L22 family protein",181.93,163.59,30.73,170.43,31.1,151.2,43.99
"ACA1_182110","ACA1_182110","MethylcrotonoylCoA carboxylase beta chain, mitochondrial, putative",78.31,70.36,44.36,83.71,69.82,79.99,84.23
"ACA1_182320","ACA1_182320","adenylosuccinate synthase",121.05,108.9,70.34,135.71,86.57,130.71,97.96
"ACA1_182370","ACA1_182370","osteoclaststimulating factor, putative",241.56,299.41,469.58,224.27,389.1,226.5,288.08
"ACA1_182410","ACA1_182410","homeobox prox 1, putative",39.73,35.25,51.72,24.42,29.4,29.77,26.27
"ACA1_182800","ACA1_182800","PXMP2/4 family protein 3, putative",348.52,344.27,195.93,386.63,248.58,390.65,301.13
"ACA1_182900","ACA1_182900","hypothetical protein",227.84,251.07,146.53,268.86,101.97,252.78,81.2
"ACA1_182910","ACA1_182910","RNA recognition motif domain containing protein",193.99,180.3,121.91,195.61,139.04,170.46,143.44
"ACA1_182920","ACA1_182920","methylthioribulose1-phosphate dehydratase",149.18,142.6,93.04,161.1,86.8,161.61,68.26
"ACA1_182950","ACA1_182950","farnesyl pyrophosphate synthetase",259.2,250.89,205.58,280.38,226.03,286.39,245.25
"ACA1_182970","ACA1_182970","hypothetical protein",59.13,65.08,18.35,65.93,24.96,63.11,28.02
"ACA1_182980","ACA1_182980","SEC13, putative",66.4,55.79,90.13,63.72,76.37,65.11,82.95
"ACA1_183130","ACA1_183130","hypothetical protein",118.51,79.1,152.95,87.25,124.15,77.53,105.73
"ACA1_183220","ACA1_183220","hypothetical protein",43.24,39.66,59.81,42.14,59.47,37.61,60.74
"ACA1_183230","ACA1_183230","hypothetical protein",537.18,601.75,868.57,516.01,665.75,531.08,586.07
"ACA1_183350","ACA1_183350","short chain dehydrogenase/reductase family",45.73,44.54,23.34,41.19,25.72,36.25,31.68
"ACA1_183360","ACA1_183360","hypothetical protein",53.01,62.67,14.54,59.7,24.63,64.07,35.48
"ACA1_183400","ACA1_183400","ATPdependent protease HslVU, peptidase subunit",103.66,104.12,117.57,104.88,58.14,95.98,58.06
"ACA1_183480","ACA1_183480","EF hand,SPla/RYanodine receptor (SPRY) domain containing protein",42.54,51.66,44.1,43.04,35.76,44.5,42.17
"ACA1_183510","ACA1_183510","erythronate4-phosphate dehydrogenase domain containing protein",72.37,64.37,76.11,96.27,42.71,99.64,41.52
"ACA1_183560","ACA1_183560","Peptidylprolyl isomerase FKBP12, putative",426.13,407.41,503.05,411.63,432.08,361.9,399.03
"ACA1_183620","ACA1_183620","citrate synthase, mitochondrial, putative",85.14,86.82,17.78,129.7,5.85,160.34,3.95
"ACA1_183640","ACA1_183640","carboxylesterase superfamily protein",122.72,114.12,46.04,174.55,12.6,179.33,12.43
"ACA1_183750","ACA1_183750","aspartate-tRNA ligase",41.62,41.9,14.55,51.92,18.68,51.77,21.7
"ACA1_183920","ACA1_183920","Hsp20/alpha crystallin family protein",131.25,395.08,158.31,329.4,265.25,367.69,351.52
"ACA1_183930","ACA1_183930","signal recognition particle 9 kDa protein",130.19,124.54,122.53,99.81,150.04,100.79,165.52
"ACA1_184000","ACA1_184000","hypothetical protein",96.7,96.98,52.92,115.58,30.51,122.62,31.05
"ACA1_184030","ACA1_184030","HMG (high mobility group) box domain containing protein",92.11,52.3,87.48,78.62,112.8,53.13,146.13
"ACA1_184040","ACA1_184040","ribosomal protein s27a, putative",5821.62,5831.81,5061.68,5651.6,4533.86,5382.91,4486.73
"ACA1_184100","ACA1_184100","Hypothetical protein",72.89,67.11,18.22,84.1,20.41,84.63,27
"ACA1_184160","ACA1_184160","26S protease regulatory subunit 6B family protein",106.45,104.91,411.49,88.33,167.91,94.07,121.21
"ACA1_184230","ACA1_184230","SNF1 related protein kinase, putative",55.8,166.65,36.63,61.81,44.71,77.97,89.9
"ACA1_184380","ACA1_184380","galactose binding lectin domain containing protein",169.36,171.56,129.62,179.53,124.78,190.14,113.5
"ACA1_184420","ACA1_184420","cathepsin Llike proteinase",92.1,83.07,22.51,93.66,71.77,88.52,90.09
"ACA1_184460","ACA1_184460","tumor protein p53 inducible protein 3, putative",43.21,35.55,91.88,35.14,74.4,33.91,88.87
"ACA1_184620","ACA1_184620","hydrolase, NUDIX domain containing protein",79.59,66.78,120.46,70.74,138.42,73.07,132
"ACA1_184650","ACA1_184650","hypothetical protein",98.39,75.98,52.74,100.43,86.68,101.33,127.24
"ACA1_184710","ACA1_184710","hypothetical protein",208.67,137.34,126.73,145.89,41.98,145.42,42.18
"ACA1_184730","ACA1_184730","hypothetical protein",903.88,624.54,367.74,884.72,722.51,769.8,943.14
"ACA1_184770","ACA1_184770","histidinolphosphate transaminase",136.37,140.46,148.94,127.31,56.75,133.75,25.78
"ACA1_184780","ACA1_184780","Yip1 domain containing protein",57.88,46.59,63.23,52.07,63.97,47.52,74.94
"ACA1_185170","ACA1_185170","imidazoleglycerolphosphate dehydratase",144.16,139.83,151.45,123.21,154.45,124.48,140.46
"ACA1_185180","ACA1_185180","LIM domain containing protein",40.97,39.44,134.57,31.91,121.88,33.87,123.57
"ACA1_185580","ACA1_185580","FYVE zinc finger domain containing protein",90.92,238.64,88.12,88.45,74.89,87.36,85.4
"ACA1_185590","ACA1_185590","EF hand domain containing protein",63.4,57.62,76.44,52.59,73.93,54.97,66.97
"ACA1_185700","ACA1_185700","EF hand domain containing protein",89.63,84.59,111.56,78.42,112.77,83.76,91
"ACA1_185860","ACA1_185860","thiol-disulfide oxidoreductase DCC, putative",68.62,154.61,31.37,70.68,29.01,72.22,33.69
"ACA1_185890","ACA1_185890","hypothetical protein",44.72,56.39,31.15,52.2,36.58,52.33,44.02
"ACA1_185910","ACA1_185910","hypothetical protein",119.55,112.29,50.12,121.5,59.04,97.1,89.12
"ACA1_186030","ACA1_186030","hypothetical protein",46.25,10.54,0.92,57.24,0.79,52.3,0.97
"ACA1_187340","ACA1_187340","transporter, major facilitator subfamily protein",62.52,31.99,14.41,52.4,2.65,57.1,3.46
"ACA1_187420","ACA1_187420","protein kinase domain containing protein",141.29,155.74,118.12,131.93,99.09,129.23,83.33
"ACA1_187430","ACA1_187430","zincbinding dehydrogenase family oxidoreductase",62.84,54.69,64.62,51.72,70.41,48.49,69.26
"ACA1_187480","ACA1_187480","hypothetical protein",197.32,162.39,28.97,198.42,52.02,193.84,15.94
"ACA1_187720","ACA1_187720","tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)binding domain containing protein",73.84,73.89,80.76,70.59,121.71,64.52,139.46
"ACA1_187740","ACA1_187740","hypothetical protein",44.99,36.85,51.13,37.67,40.06,35.96,30.71
"ACA1_187750","ACA1_187750","chorismate mutase subfamily protein",746.25,557.34,713.38,896.52,140.41,1060.36,81.99
"ACA1_187770","ACA1_187770","oxidoreductase NADbinding domain containing protein",185.92,201.53,218.21,200.99,87.15,230.94,101.7
"ACA1_187890","ACA1_187890","ubiquitinconjugating enzyme E2, putative",212.24,257.38,273,238.92,206.2,278.1,208.14
"ACA1_188050","ACA1_188050","isocitrate dehydrogenase, NADPdependent, putative",1452.09,1405.8,1400.08,1492.46,2025.51,1559.73,2341.51
"ACA1_188170","ACA1_188170","leucine-tRNA ligase",67.33,60.36,7.71,73.81,8.71,82.43,11.44
"ACA1_188190","ACA1_188190","basic calponin isoform 4, putative",59.54,53.59,747.53,26.76,484.22,37.09,582.26
"ACA1_188240","ACA1_188240","metaxin 1, putative",75.37,80.13,20.16,86.96,47.36,92.96,64.42
"ACA1_188260","ACA1_188260","adenosylmethionine decarboxylase",585.38,642.96,257.69,574.02,347.36,589.25,297.44
"ACA1_188270","ACA1_188270","transmembrane protein 66, putative",41.62,32.57,56.25,42.44,55.79,45.56,63.23
"ACA1_188290","ACA1_188290","IPT/TIG domain containing protein",43.84,43.08,59.76,50.01,57.9,51.1,55.17
"ACA1_188320","ACA1_188320","AcylCoA-binding domain containing protein",51.15,43.43,42.35,42.36,44.38,35.02,43.39
"ACA1_188330","ACA1_188330","calcium binding egf domain containing protein",378.68,233.54,24.33,437.86,46.54,369.37,46.85
"ACA1_188340","ACA1_188340","Glycolipid transfer protein (GLTP), putative",105.69,130.1,21.16,126.15,26.83,125.72,33.07
"ACA1_188490","ACA1_188490","COP9 signalosome complex subunit 3 (Signalosome subunit 3), putative",216.93,197.37,508.94,222.38,449.45,236.37,393.77
"ACA1_188500","ACA1_188500","CRAL/TRIO domain containing protein",55.91,69.87,42.58,53.18,24.11,48.82,24.9
"ACA1_188520","ACA1_188520","hypothetical protein",698.48,762.47,709.63,711.76,697.84,772.46,606.84
"ACA1_188540","ACA1_188540","hypothetical protein",76.35,72.79,211.67,56.82,105.94,58.68,103.4
"ACA1_188560","ACA1_188560","hypothetical protein",1758.93,2193.9,2761.62,2285.38,4409.91,1884.57,3338.96
"ACA1_188700","ACA1_188700","AT hook motif domain containing protein",46.07,38.08,49.06,51.93,53.78,47.94,52.56
"ACA1_188710","ACA1_188710","SNARE associated Golgi protein",61.28,44.28,46.51,64.28,56.54,58.09,49.82
"ACA1_189330","ACA1_189330","hypothetical protein",61.09,53.19,102.35,54.02,95.02,50.65,82
"ACA1_189340","ACA1_189340","Dyptype peroxidase superfamily protein",200.4,200.03,57.25,184.62,297.93,165.62,325.25
"ACA1_189400","ACA1_189400","PB1 domain containing protein",107.21,129.11,49.03,115.85,36.23,119.61,35.59
"ACA1_189420","ACA1_189420","protein disulfideisomerase domain containing protein",96.28,142.12,145.26,82.79,74.24,97.05,50.9
"ACA1_189450","ACA1_189450","chloride transporter, chloride channel (ClC) subfamily protein",64.75,47.58,29.22,45.49,52.71,48.7,63.64
"ACA1_189570","ACA1_189570","zinc finger (CCCHtype) family protein",130.79,129.76,74.21,140.02,83.57,130.47,82.81
"ACA1_189580","ACA1_189580","viral life cyclerelated protein",54.55,53.33,48.67,55.62,30.2,56.67,24.72
"ACA1_189600","ACA1_189600","hypothetical protein",45.25,42.65,48.26,47.47,49.15,50.18,47.87
"ACA1_189610","ACA1_189610","hypothetical protein",507.89,589.82,59.45,593.16,103.97,553.05,184.14
"ACA1_189640","ACA1_189640","bifunctional aspartate kinase/diaminopimelate decarboxylase protein",45.48,46.49,11.64,44.5,13.7,41.13,7.74
"ACA1_189790","ACA1_189790","NOL1/NOP2/sun domain containing protein",51.71,48.96,10.29,48.75,18.97,47.03,29.83
"ACA1_189800","ACA1_189800","NOL1/NOP2/Sun domain family, member 2, putative",47.32,46.14,10.11,43.89,16.57,40.05,26.83
"ACA1_189820","ACA1_189820","protein bcp1, putative",90.99,94.73,12.42,86.32,9.6,84.56,8.19
"ACA1_189890","ACA1_189890","universal stress domain containing protein",95.4,88.13,245.48,74.71,419.28,80.51,538.93
"ACA1_190010","ACA1_190010","uroporphyrinogenIII synthase",58.86,57.23,74.95,58.85,67.19,56.15,71.44
"ACA1_190030","ACA1_190030","phosphatidate cytidylyltransferase",70.29,66.64,86.22,64.53,82.97,58.99,84.01
"ACA1_190040","ACA1_190040","Longevityassurance protein (LAG1) domain containing protein",77.29,66.8,33.69,70.11,43.14,66.78,57.93
"ACA1_190120","ACA1_190120","hypothetical protein",39.46,29.18,21.25,35.22,43.03,37.94,31.59
"ACA1_190260","ACA1_190260","hypothetical protein",49.83,35.76,4.36,41.1,3.72,30.69,3.67
"ACA1_190270","ACA1_190270","heat shock 70kDa protein 5 (glucoseregulated protein, 78kDa), putative",293.35,334.77,996.66,392.65,753.73,442.74,1175.78
"ACA1_190280","ACA1_190280","ubiquitin-specific protease, putative",73.88,68.97,283.92,54.25,118.78,62.06,101.69
"ACA1_190630","ACA1_190630","RNA recognition motif domain containing protein",113.1,137.5,10.27,98.77,1.24,90.05,1.85
"ACA1_190750","ACA1_190750","DNAdirected RNA polymerase II subunit RPB7, putative",197,184.39,245.54,170.17,362.49,148.98,454.4
"ACA1_190910","ACA1_190910","hypothetical protein",61.16,55.47,51.04,65.41,53.88,71.44,69.49
"ACA1_190920","ACA1_190920","hypothetical protein",47.37,39.05,28.54,45.03,30.72,43.38,26.24
"ACA1_191140","ACA1_191140","hypothetical protein",66.43,54.83,44.26,67.64,40.22,59.77,41.88
"ACA1_191150","ACA1_191150","triosephosphate isomerase",239.87,220.44,285.74,229.62,126.63,214.72,93.53
"ACA1_191170","ACA1_191170","ribosomal protein L21e, putative",2924.31,3003.65,2295.29,3121.92,1812.97,3160.2,1550.69
"ACA1_191480","ACA1_191480","CS domain containing protein",96.14,107.33,147.93,105.97,141.14,107.81,140.01
"ACA1_191500","ACA1_191500","phosphoenolpyruvate carboxykinase (GTP), putative",472.3,417.44,464.18,477.74,472.53,509,519
"ACA1_191510","ACA1_191510","RNA recognition motif domain containing protein",85.59,74.24,13.8,95.58,19.87,83.21,14
"ACA1_191520","ACA1_191520","asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase) family protein",39.72,32.24,98.12,30.83,78.37,29.87,127.15
"ACA1_191540","ACA1_191540","hypothetical protein",135.83,115.47,77.49,116.27,68.56,107.38,65.55
"ACA1_191550","ACA1_191550","ribosomal protein L13, putative",281.36,263.7,45.22,270.88,39.51,243.6,53.2
"ACA1_191560","ACA1_191560","phosphogluconate dehydrogenase (decarboxylating), Cterminal domain containing protein",702.18,673.67,471,763.74,168.7,799.84,113.56
"ACA1_191570","ACA1_191570","cation diffusion facilitator family transporter superfamily protein",92.61,90.29,133.1,86.12,168.27,80.83,237.85
"ACA1_191850","ACA1_191850","calcium/ calmodulindependent protein kinase 1, putative",238.73,230.16,316.37,229.75,320.91,209.47,318.29
"ACA1_191860","ACA1_191860","hypothetical protein",86.21,97.25,137.63,93.7,133.69,90.14,157
"ACA1_191870","ACA1_191870","Proteintyrosine phosphatase",170.24,156.02,115.29,147.88,123.06,140.07,133.01
"ACA1_191880","ACA1_191880","calponin domain containing protein",172.34,161.09,180.55,164.73,176.06,166.78,155.09
"ACA1_192010","ACA1_192010","PCI domain containing protein",254.62,263.8,169.36,238.59,197.15,227.09,226.83
"ACA1_192020","ACA1_192020","cystathionine gammasynthase",374.86,360.41,237.34,459.09,284.38,426.37,335.6
"ACA1_192040","ACA1_192040","hypothetical protein",571.86,615.41,547.59,577.08,632.53,646.9,681.46
"ACA1_192070","ACA1_192070","hypothetical protein",88.35,70.55,145.97,69.72,141.54,65.1,117.78
"ACA1_192080","ACA1_192080","hypothetical protein",602.61,658.25,913.55,488.88,952.25,482.31,915.22
"ACA1_192090","ACA1_192090","RhoGEF domain containing protein",83.16,74.92,103.1,84.19,105.46,86.36,80.7
"ACA1_192100","ACA1_192100","mitochondrial ribosomal protein l51 / s25 / cib8 domain containing protein",814.75,773.23,543.92,785.72,619.5,711.56,628.66
"ACA1_192360","ACA1_192360","hypothetical protein",55.58,58.28,30.48,43.22,25.62,38.63,31.45
"ACA1_192610","ACA1_192610","Hypothetical protein",45.42,62.61,22.6,51.7,31.91,52.5,51.11
"ACA1_192660","ACA1_192660","periplasmic phosphate binding protein, putative",64.61,59.23,56.81,61.65,75.65,54.08,90.1
"ACA1_193180","ACA1_193180","serine incorporator 3, putative",58.91,57.37,142.71,44.58,157.9,51.24,183.32
"ACA1_193190","ACA1_193190","hypothetical protein",91.83,71.89,177.71,78.02,155.85,83.38,170.26
"ACA1_193200","ACA1_193200","hypothetical protein",275.07,220.34,1146.27,206.86,659.82,330.17,627.05
"ACA1_193210","ACA1_193210","polyubiquitin 4 UBQ4, putative",131.97,138.99,127.89,122.1,146.1,138.08,126.13
"ACA1_193220","ACA1_193220","glycerophosphoryl diester phosphodiesterase family protein",127.1,123.94,75.57,136.41,83.39,138.54,89.31
"ACA1_193260","ACA1_193260","hypothetical protein",63.42,52.81,47.78,65.18,53.08,66.31,67.67
"ACA1_193300","ACA1_193300","sterol 24c-methyltransferase",1123.79,1023.05,1105.42,1230.05,1346.24,1330.45,1630.3
"ACA1_194880","ACA1_194880","hydrolase",52.82,48.25,36.21,53.73,42.78,54.97,31.05
"ACA1_194900","ACA1_194900","hypothetical protein",56.38,41.78,56.41,46.3,46.45,40.57,42.3
"ACA1_194910","ACA1_194910","alkaline phosphatase family subfamily protein",228.38,205.05,62.51,162.61,54.55,177.55,68.84
"ACA1_194920","ACA1_194920","20S proteasome alpha subunit F, putative",332.35,312.93,977.98,265.28,561.55,257.18,464.82
"ACA1_194930","ACA1_194930","matrix attachment region binding protein",667.41,754.71,16.85,725.51,9.24,714.18,10.66
"ACA1_194970","ACA1_194970","Camk2b protein",91.74,90.29,93.05,81.43,96.57,78.41,84.5
"ACA1_195020","ACA1_195020","CBF/Mak21 family protein",60.66,74,0.55,58.19,0.74,52.66,1.03
"ACA1_195060","ACA1_195060","hypothetical protein",91.46,79.05,187.02,104.1,170.66,108.29,172.41
"ACA1_195180","ACA1_195180","Coiled-coil domain containing protein 94, putative",56.71,53.31,34.5,49.76,44.66,51.68,48.93
"ACA1_195220","ACA1_195220","hypothetical protein",62.04,72.46,40.99,52.58,35.75,47.09,52.69
"ACA1_195230","ACA1_195230","RNB family domain containing protein",41.24,32.81,48.97,37.1,29.62,49.06,35.58
"ACA1_195240","ACA1_195240","CBS domain containing protein",148.51,144.67,227.98,156.45,172.36,196.91,199.91
"ACA1_195250","ACA1_195250","hypothetical protein",84.68,101.64,15.3,83.84,20.76,75.5,31.15
"ACA1_196090","ACA1_196090","hypothetical protein",149.33,148.41,204.13,149.64,214.09,165.57,242.66
"ACA1_196530","ACA1_196530","hypothetical protein",55.95,48.53,31.16,60.91,29.52,61.51,34.67
"ACA1_196970","ACA1_196970","hypothetical protein",62.02,57.73,67.66,41.91,51.95,47.47,28.63
"ACA1_197860","ACA1_197860","glucosamine6-phosphate deaminase",73.75,78.66,34.16,72.88,29.24,62.29,35
"ACA1_198300","ACA1_198300","hypothetical protein",46.83,34.65,21.22,36.06,39.61,35.96,34.17
"ACA1_198340","ACA1_198340","papain family cysteine protease subfamily protein",77.39,57.33,102.01,68.58,130.39,65.64,85.26
"ACA1_198360","ACA1_198360","epithiospecifier protein",197.81,188.67,189.9,165.36,82.91,169.9,72.1
"ACA1_198390","ACA1_198390","hypothetical protein",104.73,97.98,74.59,98.3,85.19,94.05,86.28
"ACA1_198400","ACA1_198400","citrate transport family protein",144.2,108.18,78.42,147.14,88.45,141.32,63.32
"ACA1_198440","ACA1_198440","hypothetical protein",78.79,83.91,133.02,74.7,179.62,70.89,218.02
"ACA1_198470","ACA1_198470","SAP domain containing protein",50.57,40.42,33.48,47.96,22.42,65.64,17.5
"ACA1_198490","ACA1_198490","RanBP1 domain containing protein",383.05,414.11,188.85,387.87,348.67,360.94,505.45
"ACA1_198500","ACA1_198500","Ubiquinone biosynthesis methyltransferase COQ5, putative",73.32,71.44,9.11,77,34.44,77.51,55.6
"ACA1_198530","ACA1_198530","eTGF-beta receptor-interacting protein, putative",372.47,394.14,121.73,329.19,100.55,301.64,90.09
"ACA1_198560","ACA1_198560","cterminal domain small phosphatase, putative",56.83,52.16,46.36,42.92,57.57,45.61,62.65
"ACA1_198570","ACA1_198570","COP9 signalosome complex subunit 4, putative",126.9,125.84,245.03,122.51,205.7,132.21,184.43
"ACA1_198580","ACA1_198580","transducin family protein",113.03,122.1,7.91,106.19,6.53,92.42,10.17
"ACA1_198700","ACA1_198700","ABC transporter, ATPbinding domain containing protein",44.53,65.56,94.89,38.28,41.84,47.17,41.78
"ACA1_198710","ACA1_198710","hypothetical protein",2282.51,2673.09,2916.06,2141.74,2918.83,2324.66,2477.96
"ACA1_198850","ACA1_198850","von HippelLindau binding protein 1, putative",127.37,110.91,78.13,103.58,82.32,95,100.55
"ACA1_199010","ACA1_199010","JmjC domain containing protein 5 (Jumonji domain-containing protein 5), putative",42.39,39.1,22.58,50.62,25.77,56.26,31
"ACA1_199300","ACA1_199300","TolAlike protein",176.06,212.84,620.51,152.08,330.42,170.82,117.7
"ACA1_199310","ACA1_199310","protein tolA, putative",230.62,303.81,548.22,200.5,388.61,225.59,186.2
"ACA1_199320","ACA1_199320","electrontransfer-flavoprotein, beta polypeptide, putative",278.6,278.31,220,290.03,205.14,274.53,238.89
"ACA1_199350","ACA1_199350","EF1 guanine nucleotide exchange domain containing protein",1967.06,1983.72,1065.55,1902.75,750.37,1721,635.25
"ACA1_199530","ACA1_199530","TolAlike protein",113.17,96.65,448.54,97.86,327.74,106.78,249.22
"ACA1_199540","ACA1_199540","TolAlike protein",82.66,82.65,279.52,65.98,239.32,68.96,171.39
"ACA1_199720","ACA1_199720","pentatricopeptide repeat domain containing protein",71.91,68.02,41.16,82.8,41.74,81.06,39.34
"ACA1_199730","ACA1_199730","dihydrofolate reductase",97.76,79.25,50.66,82.33,54.5,72.51,49.14
"ACA1_199750","ACA1_199750","hypothetical protein",153.11,140.95,161.95,139.41,123.9,134.59,108.47
"ACA1_199830","ACA1_199830","glycine cleavage system Pprotein",58.07,54.51,24.26,74.99,13.5,91.7,12.54
"ACA1_199970","ACA1_199970","glycoside hydrolase family protein",121.13,121.84,30.31,146.83,12.99,134.19,8.77
"ACA1_199980","ACA1_199980","hypothetical protein",86.28,97.85,9.78,89.72,10.54,86.13,14.07
"ACA1_199990","ACA1_199990","guanine nucleotide-binding protein beta subunit, putative",985.77,1112.22,587.55,1132.99,302.11,1199.42,270.43
"ACA1_200000","ACA1_200000","LAO/AO transport system ATPase",41.98,34.5,36.4,44.11,34.62,41.35,38.69
"ACA1_200060","ACA1_200060","hypothetical protein",72.15,69.49,88.36,78.81,129.89,78.93,134.02
"ACA1_200070","ACA1_200070","tetratricopeptide repeat domain containing protein",46.26,27.61,2.52,43.15,6.07,34.09,12.16
"ACA1_200090","ACA1_200090","flavin reductaselike, FMN-binding, putative",61.64,61.2,38.36,50.26,41.52,69.44,61.67
"ACA1_200100","ACA1_200100","hypothetical protein",68.94,55.39,43.59,61.66,50.12,70.16,66.04
"ACA1_200160","ACA1_200160","DEAD/DEAH box helicase domain containing protein",42.8,32.87,42.63,38.49,28.63,34.47,29.3
"ACA1_200170","ACA1_200170","hypothetical protein",284.6,302.55,211.7,319.16,199.87,303.51,190.04
"ACA1_200190","ACA1_200190","domain found in if2b/if5 domain containing protein",338.43,374.97,180.5,336.24,188.94,370.59,177.54
"ACA1_200220","ACA1_200220","fructose-1,6-bisphosphatase, putative",126.93,112.67,193.9,114.41,111.57,110.49,115.87
"ACA1_200360","ACA1_200360","leucine rich repeat domain containing protein",79.78,101.78,121.99,70.72,203.39,69.32,243.16
"ACA1_200420","ACA1_200420","Autophagy-related protein 27 protein",97.82,86.87,18.47,80.49,36.54,82.94,44.71
"ACA1_200430","ACA1_200430","elongation factor 1-alpha, putative",2879.54,3035.38,1721.27,3186.07,1604.79,3691.08,1158.26
"ACA1_201160","ACA1_201160","RasGEF domain containing protein",43.32,94.04,43.38,52.95,22,50.4,20.91
"ACA1_201180","ACA1_201180","hypothetical protein",52.59,43.28,45.4,56.9,62.12,54.76,74
"ACA1_201390","ACA1_201390","transmembrane 9 superfamily protein member 4, putative",52.87,52.42,57.03,58.3,69.27,69.61,76.36
"ACA1_201450","ACA1_201450","ADPribosylation factor, putative",61.44,46.24,63.09,55.43,73.89,55.15,66.36
"ACA1_201470","ACA1_201470","Rasrelated protein Rab-2B, putative",77.6,75.01,286.69,66.14,276.67,65.52,335.27
"ACA1_201580","ACA1_201580","6-phosphofructokinase precursor family protein",80.28,58.26,124.03,109.81,64.55,125.75,60.55
"ACA1_201650","ACA1_201650","DNA repair protein RAD51, putative",136.71,128.98,150.66,136.76,152.7,157.65,182.49
"ACA1_201660","ACA1_201660","DEADbox ATP-dependent RNA helicase 35B, putative",58.34,52.02,37.13,58.08,33.61,52.2,36.84
"ACA1_201670","ACA1_201670","DNAJ heat shock domain containing protein",41.59,38.77,42.98,35.18,38.54,33.5,42.34
"ACA1_202380","ACA1_202380","CS domain containing protein",132.17,100.62,129.11,121.86,95.17,98.29,80.57
"ACA1_202410","ACA1_202410","hypothetical protein",67.16,59.49,118.64,54.05,168.52,50.66,177.6
"ACA1_202700","ACA1_202700","branchedchain amino acid aminotransferase",125.12,119.34,30.61,164.58,44.83,164.99,60.87
"ACA1_202750","ACA1_202750","hypothetical protein",110.06,89.97,101.17,89.74,107.18,84.78,98.23
"ACA1_203020","ACA1_203020","protein pns1, putative",80.25,70.41,65.17,71.13,82.32,74.61,107.84
"ACA1_203090","ACA1_203090","glycosyl hydrolase, family 31 protein",42.81,40.86,48.34,41.37,39.42,42.7,40.25
"ACA1_203150","ACA1_203150","transcription initiation factor iia, gamma subunit, helical domain containing protein",42.19,45.38,40.98,44.66,39.85,42.47,38.79
"ACA1_203500","ACA1_203500","coatomer subunit delta1, putative",67.96,55.29,92.83,63.23,89.95,60.22,95.13
"ACA1_203650","ACA1_203650","dynamin domain containing protein",437.7,257.35,1341.74,206.36,1618.21,332.43,1389.13
"ACA1_203710","ACA1_203710","hypothetical protein",1053.13,792.92,674.14,1192.7,1190.99,1196.6,660.85
"ACA1_203750","ACA1_203750","PH domain containing protein",69.5,55.04,54.64,67.04,52.76,69.1,41.24
"ACA1_203760","ACA1_203760","60S ribosomal protein L23, putative",3771.17,3721.83,3014.86,3551.05,2501.33,3104.9,2199.37
"ACA1_203900","ACA1_203900","phosphatidylethanolamine Nmethyltransferase",95.44,94.62,51.11,90.79,47.65,90.79,56.24
"ACA1_204000","ACA1_204000","hypothetical protein",52.9,45,35.79,46.57,34.04,47.77,32.99
"ACA1_204010","ACA1_204010","RAC GTPase",385.86,435.61,596.02,377.84,628.98,421.47,671.19
"ACA1_204020","ACA1_204020","hypothetical protein",3617.1,3554.15,2850.93,3316.5,2253.2,2978.95,2039.95
"ACA1_204430","ACA1_204430","hypothetical protein",115.84,162.21,306.36,105.4,217.74,104.39,206.63
"ACA1_204440","ACA1_204440","hypothetical protein",61.9,66.82,6.18,56.99,12.21,56.55,17.06
"ACA1_204490","ACA1_204490","Ham1 family",73.61,71.39,53.51,65.69,49.25,58.25,51.67
"ACA1_204500","ACA1_204500","hypothetical protein",52.06,41.35,32.01,51.24,62.44,50.52,55.34
"ACA1_204570","ACA1_204570","hypothetical protein",194.76,213.23,10.71,175.05,22.79,149.68,30.9
"ACA1_205990","ACA1_205990","histidine acid phosphatase superfamily protein",55.14,51.34,76.27,59.82,72.68,63.55,74.02
"ACA1_206000","ACA1_206000","succinate dehydrogenase, cytochrome b556 subunit protein",74.66,82.46,36.24,101.5,23.06,106.16,29.43
"ACA1_206350","ACA1_206350","hypothetical protein",364.15,331.56,172.98,320.63,213.57,294.66,266.51
"ACA1_206370","ACA1_206370","molybdenum cofactor sulfuraselike protein 1, putative",49.92,51.25,48.36,43.52,59.73,44.16,70.36
"ACA1_206750","ACA1_206750","hypothetical protein",39.68,32.24,95.36,19.68,140.39,28.39,207.45
"ACA1_206870","ACA1_206870","hypothetical protein",327.41,396.07,645.29,305.23,472.83,331.78,395.07
"ACA1_207340","ACA1_207340","syntaxinlike t-SNARE protein TLG2, putative",39.42,34.6,114.88,32.18,99.03,33.55,89.06
"ACA1_207480","ACA1_207480","exported protein, putative",1301.77,1115.88,1022.34,910.05,201.54,1016.39,88.64
