"","GeneId","Descripcion","Ctrl0hr","Encyst1hr","Encyst4hr","Encyst8hr"
"ACA1_181920","ACA1_181920","hypothetical protein",171.7,87.21,102.32,60.47
"ACA1_181970","ACA1_181970","ribosomal protein S17, putative",3170,2697.2,2487.14,2419.07
"ACA1_182030","ACA1_182030","enoylCoA hydratase/isomerase family domain containing protein",70.6,15.67,16.52,20.18
"ACA1_182100","ACA1_182100","ribosomal protein L22 family protein",181.93,30.73,31.1,43.99
"ACA1_182110","ACA1_182110","MethylcrotonoylCoA carboxylase beta chain, mitochondrial, putative",78.31,44.36,69.82,84.23
"ACA1_182320","ACA1_182320","adenylosuccinate synthase",121.05,70.34,86.57,97.96
"ACA1_182370","ACA1_182370","osteoclaststimulating factor, putative",241.56,469.58,389.1,288.08
"ACA1_182410","ACA1_182410","homeobox prox 1, putative",39.73,51.72,29.4,26.27
"ACA1_182800","ACA1_182800","PXMP2/4 family protein 3, putative",348.52,195.93,248.58,301.13
"ACA1_182900","ACA1_182900","hypothetical protein",227.84,146.53,101.97,81.2
"ACA1_182910","ACA1_182910","RNA recognition motif domain containing protein",193.99,121.91,139.04,143.44
"ACA1_182920","ACA1_182920","methylthioribulose1-phosphate dehydratase",149.18,93.04,86.8,68.26
"ACA1_182950","ACA1_182950","farnesyl pyrophosphate synthetase",259.2,205.58,226.03,245.25
"ACA1_182970","ACA1_182970","hypothetical protein",59.13,18.35,24.96,28.02
"ACA1_182980","ACA1_182980","SEC13, putative",66.4,90.13,76.37,82.95
"ACA1_183130","ACA1_183130","hypothetical protein",118.51,152.95,124.15,105.73
"ACA1_183220","ACA1_183220","hypothetical protein",43.24,59.81,59.47,60.74
"ACA1_183230","ACA1_183230","hypothetical protein",537.18,868.57,665.75,586.07
"ACA1_183350","ACA1_183350","short chain dehydrogenase/reductase family",45.73,23.34,25.72,31.68
"ACA1_183360","ACA1_183360","hypothetical protein",53.01,14.54,24.63,35.48
"ACA1_183400","ACA1_183400","ATPdependent protease HslVU, peptidase subunit",103.66,117.57,58.14,58.06
"ACA1_183480","ACA1_183480","EF hand,SPla/RYanodine receptor (SPRY) domain containing protein",42.54,44.1,35.76,42.17
"ACA1_183510","ACA1_183510","erythronate4-phosphate dehydrogenase domain containing protein",72.37,76.11,42.71,41.52
"ACA1_183560","ACA1_183560","Peptidylprolyl isomerase FKBP12, putative",426.13,503.05,432.08,399.03
"ACA1_183620","ACA1_183620","citrate synthase, mitochondrial, putative",85.14,17.78,5.85,3.95
"ACA1_183640","ACA1_183640","carboxylesterase superfamily protein",122.72,46.04,12.6,12.43
"ACA1_183750","ACA1_183750","aspartate-tRNA ligase",41.62,14.55,18.68,21.7
"ACA1_183920","ACA1_183920","Hsp20/alpha crystallin family protein",131.25,158.31,265.25,351.52
"ACA1_183930","ACA1_183930","signal recognition particle 9 kDa protein",130.19,122.53,150.04,165.52
"ACA1_184000","ACA1_184000","hypothetical protein",96.7,52.92,30.51,31.05
"ACA1_184030","ACA1_184030","HMG (high mobility group) box domain containing protein",92.11,87.48,112.8,146.13
"ACA1_184040","ACA1_184040","ribosomal protein s27a, putative",5821.62,5061.68,4533.86,4486.73
"ACA1_184100","ACA1_184100","Hypothetical protein",72.89,18.22,20.41,27
"ACA1_184160","ACA1_184160","26S protease regulatory subunit 6B family protein",106.45,411.49,167.91,121.21
"ACA1_184230","ACA1_184230","SNF1 related protein kinase, putative",55.8,36.63,44.71,89.9
"ACA1_184380","ACA1_184380","galactose binding lectin domain containing protein",169.36,129.62,124.78,113.5
"ACA1_184420","ACA1_184420","cathepsin Llike proteinase",92.1,22.51,71.77,90.09
"ACA1_184460","ACA1_184460","tumor protein p53 inducible protein 3, putative",43.21,91.88,74.4,88.87
"ACA1_184620","ACA1_184620","hydrolase, NUDIX domain containing protein",79.59,120.46,138.42,132
"ACA1_184650","ACA1_184650","hypothetical protein",98.39,52.74,86.68,127.24
"ACA1_184710","ACA1_184710","hypothetical protein",208.67,126.73,41.98,42.18
"ACA1_184730","ACA1_184730","hypothetical protein",903.88,367.74,722.51,943.14
"ACA1_184770","ACA1_184770","histidinolphosphate transaminase",136.37,148.94,56.75,25.78
"ACA1_184780","ACA1_184780","Yip1 domain containing protein",57.88,63.23,63.97,74.94
"ACA1_185170","ACA1_185170","imidazoleglycerolphosphate dehydratase",144.16,151.45,154.45,140.46
"ACA1_185180","ACA1_185180","LIM domain containing protein",40.97,134.57,121.88,123.57
"ACA1_185580","ACA1_185580","FYVE zinc finger domain containing protein",90.92,88.12,74.89,85.4
"ACA1_185590","ACA1_185590","EF hand domain containing protein",63.4,76.44,73.93,66.97
"ACA1_185700","ACA1_185700","EF hand domain containing protein",89.63,111.56,112.77,91
"ACA1_185860","ACA1_185860","thiol-disulfide oxidoreductase DCC, putative",68.62,31.37,29.01,33.69
"ACA1_185890","ACA1_185890","hypothetical protein",44.72,31.15,36.58,44.02
"ACA1_185910","ACA1_185910","hypothetical protein",119.55,50.12,59.04,89.12
"ACA1_186030","ACA1_186030","hypothetical protein",46.25,0.92,0.79,0.97
"ACA1_187340","ACA1_187340","transporter, major facilitator subfamily protein",62.52,14.41,2.65,3.46
"ACA1_187420","ACA1_187420","protein kinase domain containing protein",141.29,118.12,99.09,83.33
"ACA1_187430","ACA1_187430","zincbinding dehydrogenase family oxidoreductase",62.84,64.62,70.41,69.26
"ACA1_187480","ACA1_187480","hypothetical protein",197.32,28.97,52.02,15.94
"ACA1_187720","ACA1_187720","tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)binding domain containing protein",73.84,80.76,121.71,139.46
"ACA1_187740","ACA1_187740","hypothetical protein",44.99,51.13,40.06,30.71
"ACA1_187750","ACA1_187750","chorismate mutase subfamily protein",746.25,713.38,140.41,81.99
"ACA1_187770","ACA1_187770","oxidoreductase NADbinding domain containing protein",185.92,218.21,87.15,101.7
"ACA1_187890","ACA1_187890","ubiquitinconjugating enzyme E2, putative",212.24,273,206.2,208.14
"ACA1_188050","ACA1_188050","isocitrate dehydrogenase, NADPdependent, putative",1452.09,1400.08,2025.51,2341.51
"ACA1_188170","ACA1_188170","leucine-tRNA ligase",67.33,7.71,8.71,11.44
"ACA1_188190","ACA1_188190","basic calponin isoform 4, putative",59.54,747.53,484.22,582.26
"ACA1_188240","ACA1_188240","metaxin 1, putative",75.37,20.16,47.36,64.42
"ACA1_188260","ACA1_188260","adenosylmethionine decarboxylase",585.38,257.69,347.36,297.44
"ACA1_188270","ACA1_188270","transmembrane protein 66, putative",41.62,56.25,55.79,63.23
"ACA1_188290","ACA1_188290","IPT/TIG domain containing protein",43.84,59.76,57.9,55.17
"ACA1_188320","ACA1_188320","AcylCoA-binding domain containing protein",51.15,42.35,44.38,43.39
"ACA1_188330","ACA1_188330","calcium binding egf domain containing protein",378.68,24.33,46.54,46.85
"ACA1_188340","ACA1_188340","Glycolipid transfer protein (GLTP), putative",105.69,21.16,26.83,33.07
"ACA1_188490","ACA1_188490","COP9 signalosome complex subunit 3 (Signalosome subunit 3), putative",216.93,508.94,449.45,393.77
"ACA1_188500","ACA1_188500","CRAL/TRIO domain containing protein",55.91,42.58,24.11,24.9
"ACA1_188520","ACA1_188520","hypothetical protein",698.48,709.63,697.84,606.84
"ACA1_188540","ACA1_188540","hypothetical protein",76.35,211.67,105.94,103.4
"ACA1_188560","ACA1_188560","hypothetical protein",1758.93,2761.62,4409.91,3338.96
"ACA1_188700","ACA1_188700","AT hook motif domain containing protein",46.07,49.06,53.78,52.56
"ACA1_188710","ACA1_188710","SNARE associated Golgi protein",61.28,46.51,56.54,49.82
"ACA1_189330","ACA1_189330","hypothetical protein",61.09,102.35,95.02,82
"ACA1_189340","ACA1_189340","Dyptype peroxidase superfamily protein",200.4,57.25,297.93,325.25
"ACA1_189400","ACA1_189400","PB1 domain containing protein",107.21,49.03,36.23,35.59
"ACA1_189420","ACA1_189420","protein disulfideisomerase domain containing protein",96.28,145.26,74.24,50.9
"ACA1_189450","ACA1_189450","chloride transporter, chloride channel (ClC) subfamily protein",64.75,29.22,52.71,63.64
"ACA1_189570","ACA1_189570","zinc finger (CCCHtype) family protein",130.79,74.21,83.57,82.81
"ACA1_189580","ACA1_189580","viral life cyclerelated protein",54.55,48.67,30.2,24.72
"ACA1_189600","ACA1_189600","hypothetical protein",45.25,48.26,49.15,47.87
"ACA1_189610","ACA1_189610","hypothetical protein",507.89,59.45,103.97,184.14
"ACA1_189640","ACA1_189640","bifunctional aspartate kinase/diaminopimelate decarboxylase protein",45.48,11.64,13.7,7.74
"ACA1_189790","ACA1_189790","NOL1/NOP2/sun domain containing protein",51.71,10.29,18.97,29.83
"ACA1_189800","ACA1_189800","NOL1/NOP2/Sun domain family, member 2, putative",47.32,10.11,16.57,26.83
"ACA1_189820","ACA1_189820","protein bcp1, putative",90.99,12.42,9.6,8.19
"ACA1_189890","ACA1_189890","universal stress domain containing protein",95.4,245.48,419.28,538.93
"ACA1_190010","ACA1_190010","uroporphyrinogenIII synthase",58.86,74.95,67.19,71.44
"ACA1_190030","ACA1_190030","phosphatidate cytidylyltransferase",70.29,86.22,82.97,84.01
"ACA1_190040","ACA1_190040","Longevityassurance protein (LAG1) domain containing protein",77.29,33.69,43.14,57.93
"ACA1_190120","ACA1_190120","hypothetical protein",39.46,21.25,43.03,31.59
"ACA1_190260","ACA1_190260","hypothetical protein",49.83,4.36,3.72,3.67
"ACA1_190270","ACA1_190270","heat shock 70kDa protein 5 (glucoseregulated protein, 78kDa), putative",293.35,996.66,753.73,1175.78
"ACA1_190280","ACA1_190280","ubiquitin-specific protease, putative",73.88,283.92,118.78,101.69
"ACA1_190630","ACA1_190630","RNA recognition motif domain containing protein",113.1,10.27,1.24,1.85
"ACA1_190750","ACA1_190750","DNAdirected RNA polymerase II subunit RPB7, putative",197,245.54,362.49,454.4
"ACA1_190910","ACA1_190910","hypothetical protein",61.16,51.04,53.88,69.49
"ACA1_190920","ACA1_190920","hypothetical protein",47.37,28.54,30.72,26.24
"ACA1_191140","ACA1_191140","hypothetical protein",66.43,44.26,40.22,41.88
"ACA1_191150","ACA1_191150","triosephosphate isomerase",239.87,285.74,126.63,93.53
"ACA1_191170","ACA1_191170","ribosomal protein L21e, putative",2924.31,2295.29,1812.97,1550.69
"ACA1_191480","ACA1_191480","CS domain containing protein",96.14,147.93,141.14,140.01
"ACA1_191500","ACA1_191500","phosphoenolpyruvate carboxykinase (GTP), putative",472.3,464.18,472.53,519
"ACA1_191510","ACA1_191510","RNA recognition motif domain containing protein",85.59,13.8,19.87,14
"ACA1_191520","ACA1_191520","asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase) family protein",39.72,98.12,78.37,127.15
"ACA1_191540","ACA1_191540","hypothetical protein",135.83,77.49,68.56,65.55
"ACA1_191550","ACA1_191550","ribosomal protein L13, putative",281.36,45.22,39.51,53.2
"ACA1_191560","ACA1_191560","phosphogluconate dehydrogenase (decarboxylating), Cterminal domain containing protein",702.18,471,168.7,113.56
"ACA1_191570","ACA1_191570","cation diffusion facilitator family transporter superfamily protein",92.61,133.1,168.27,237.85
"ACA1_191850","ACA1_191850","calcium/ calmodulindependent protein kinase 1, putative",238.73,316.37,320.91,318.29
"ACA1_191860","ACA1_191860","hypothetical protein",86.21,137.63,133.69,157
"ACA1_191870","ACA1_191870","Proteintyrosine phosphatase",170.24,115.29,123.06,133.01
"ACA1_191880","ACA1_191880","calponin domain containing protein",172.34,180.55,176.06,155.09
"ACA1_192010","ACA1_192010","PCI domain containing protein",254.62,169.36,197.15,226.83
"ACA1_192020","ACA1_192020","cystathionine gammasynthase",374.86,237.34,284.38,335.6
"ACA1_192040","ACA1_192040","hypothetical protein",571.86,547.59,632.53,681.46
"ACA1_192070","ACA1_192070","hypothetical protein",88.35,145.97,141.54,117.78
"ACA1_192080","ACA1_192080","hypothetical protein",602.61,913.55,952.25,915.22
"ACA1_192090","ACA1_192090","RhoGEF domain containing protein",83.16,103.1,105.46,80.7
"ACA1_192100","ACA1_192100","mitochondrial ribosomal protein l51 / s25 / cib8 domain containing protein",814.75,543.92,619.5,628.66
"ACA1_192360","ACA1_192360","hypothetical protein",55.58,30.48,25.62,31.45
"ACA1_192610","ACA1_192610","Hypothetical protein",45.42,22.6,31.91,51.11
"ACA1_192660","ACA1_192660","periplasmic phosphate binding protein, putative",64.61,56.81,75.65,90.1
"ACA1_193180","ACA1_193180","serine incorporator 3, putative",58.91,142.71,157.9,183.32
"ACA1_193190","ACA1_193190","hypothetical protein",91.83,177.71,155.85,170.26
"ACA1_193200","ACA1_193200","hypothetical protein",275.07,1146.27,659.82,627.05
"ACA1_193210","ACA1_193210","polyubiquitin 4 UBQ4, putative",131.97,127.89,146.1,126.13
"ACA1_193220","ACA1_193220","glycerophosphoryl diester phosphodiesterase family protein",127.1,75.57,83.39,89.31
"ACA1_193260","ACA1_193260","hypothetical protein",63.42,47.78,53.08,67.67
"ACA1_193300","ACA1_193300","sterol 24c-methyltransferase",1123.79,1105.42,1346.24,1630.3
"ACA1_194880","ACA1_194880","hydrolase",52.82,36.21,42.78,31.05
"ACA1_194900","ACA1_194900","hypothetical protein",56.38,56.41,46.45,42.3
"ACA1_194910","ACA1_194910","alkaline phosphatase family subfamily protein",228.38,62.51,54.55,68.84
"ACA1_194920","ACA1_194920","20S proteasome alpha subunit F, putative",332.35,977.98,561.55,464.82
"ACA1_194930","ACA1_194930","matrix attachment region binding protein",667.41,16.85,9.24,10.66
"ACA1_194970","ACA1_194970","Camk2b protein",91.74,93.05,96.57,84.5
"ACA1_195020","ACA1_195020","CBF/Mak21 family protein",60.66,0.55,0.74,1.03
"ACA1_195060","ACA1_195060","hypothetical protein",91.46,187.02,170.66,172.41
"ACA1_195180","ACA1_195180","Coiled-coil domain containing protein 94, putative",56.71,34.5,44.66,48.93
"ACA1_195220","ACA1_195220","hypothetical protein",62.04,40.99,35.75,52.69
"ACA1_195230","ACA1_195230","RNB family domain containing protein",41.24,48.97,29.62,35.58
"ACA1_195240","ACA1_195240","CBS domain containing protein",148.51,227.98,172.36,199.91
"ACA1_195250","ACA1_195250","hypothetical protein",84.68,15.3,20.76,31.15
"ACA1_196090","ACA1_196090","hypothetical protein",149.33,204.13,214.09,242.66
"ACA1_196530","ACA1_196530","hypothetical protein",55.95,31.16,29.52,34.67
"ACA1_196970","ACA1_196970","hypothetical protein",62.02,67.66,51.95,28.63
"ACA1_197860","ACA1_197860","glucosamine6-phosphate deaminase",73.75,34.16,29.24,35
"ACA1_198300","ACA1_198300","hypothetical protein",46.83,21.22,39.61,34.17
"ACA1_198340","ACA1_198340","papain family cysteine protease subfamily protein",77.39,102.01,130.39,85.26
"ACA1_198360","ACA1_198360","epithiospecifier protein",197.81,189.9,82.91,72.1
"ACA1_198390","ACA1_198390","hypothetical protein",104.73,74.59,85.19,86.28
"ACA1_198400","ACA1_198400","citrate transport family protein",144.2,78.42,88.45,63.32
"ACA1_198440","ACA1_198440","hypothetical protein",78.79,133.02,179.62,218.02
"ACA1_198470","ACA1_198470","SAP domain containing protein",50.57,33.48,22.42,17.5
"ACA1_198490","ACA1_198490","RanBP1 domain containing protein",383.05,188.85,348.67,505.45
"ACA1_198500","ACA1_198500","Ubiquinone biosynthesis methyltransferase COQ5, putative",73.32,9.11,34.44,55.6
"ACA1_198530","ACA1_198530","eTGF-beta receptor-interacting protein, putative",372.47,121.73,100.55,90.09
"ACA1_198560","ACA1_198560","cterminal domain small phosphatase, putative",56.83,46.36,57.57,62.65
"ACA1_198570","ACA1_198570","COP9 signalosome complex subunit 4, putative",126.9,245.03,205.7,184.43
"ACA1_198580","ACA1_198580","transducin family protein",113.03,7.91,6.53,10.17
"ACA1_198700","ACA1_198700","ABC transporter, ATPbinding domain containing protein",44.53,94.89,41.84,41.78
"ACA1_198710","ACA1_198710","hypothetical protein",2282.51,2916.06,2918.83,2477.96
"ACA1_198850","ACA1_198850","von HippelLindau binding protein 1, putative",127.37,78.13,82.32,100.55
"ACA1_199010","ACA1_199010","JmjC domain containing protein 5 (Jumonji domain-containing protein 5), putative",42.39,22.58,25.77,31
"ACA1_199300","ACA1_199300","TolAlike protein",176.06,620.51,330.42,117.7
"ACA1_199310","ACA1_199310","protein tolA, putative",230.62,548.22,388.61,186.2
"ACA1_199320","ACA1_199320","electrontransfer-flavoprotein, beta polypeptide, putative",278.6,220,205.14,238.89
"ACA1_199350","ACA1_199350","EF1 guanine nucleotide exchange domain containing protein",1967.06,1065.55,750.37,635.25
"ACA1_199530","ACA1_199530","TolAlike protein",113.17,448.54,327.74,249.22
"ACA1_199540","ACA1_199540","TolAlike protein",82.66,279.52,239.32,171.39
"ACA1_199720","ACA1_199720","pentatricopeptide repeat domain containing protein",71.91,41.16,41.74,39.34
"ACA1_199730","ACA1_199730","dihydrofolate reductase",97.76,50.66,54.5,49.14
"ACA1_199750","ACA1_199750","hypothetical protein",153.11,161.95,123.9,108.47
"ACA1_199830","ACA1_199830","glycine cleavage system Pprotein",58.07,24.26,13.5,12.54
"ACA1_199970","ACA1_199970","glycoside hydrolase family protein",121.13,30.31,12.99,8.77
"ACA1_199980","ACA1_199980","hypothetical protein",86.28,9.78,10.54,14.07
"ACA1_199990","ACA1_199990","guanine nucleotide-binding protein beta subunit, putative",985.77,587.55,302.11,270.43
"ACA1_200000","ACA1_200000","LAO/AO transport system ATPase",41.98,36.4,34.62,38.69
"ACA1_200060","ACA1_200060","hypothetical protein",72.15,88.36,129.89,134.02
"ACA1_200070","ACA1_200070","tetratricopeptide repeat domain containing protein",46.26,2.52,6.07,12.16
"ACA1_200090","ACA1_200090","flavin reductaselike, FMN-binding, putative",61.64,38.36,41.52,61.67
"ACA1_200100","ACA1_200100","hypothetical protein",68.94,43.59,50.12,66.04
"ACA1_200160","ACA1_200160","DEAD/DEAH box helicase domain containing protein",42.8,42.63,28.63,29.3
"ACA1_200170","ACA1_200170","hypothetical protein",284.6,211.7,199.87,190.04
"ACA1_200190","ACA1_200190","domain found in if2b/if5 domain containing protein",338.43,180.5,188.94,177.54
"ACA1_200220","ACA1_200220","fructose-1,6-bisphosphatase, putative",126.93,193.9,111.57,115.87
"ACA1_200360","ACA1_200360","leucine rich repeat domain containing protein",79.78,121.99,203.39,243.16
"ACA1_200420","ACA1_200420","Autophagy-related protein 27 protein",97.82,18.47,36.54,44.71
"ACA1_200430","ACA1_200430","elongation factor 1-alpha, putative",2879.54,1721.27,1604.79,1158.26
"ACA1_201160","ACA1_201160","RasGEF domain containing protein",43.32,43.38,22,20.91
"ACA1_201180","ACA1_201180","hypothetical protein",52.59,45.4,62.12,74
"ACA1_201390","ACA1_201390","transmembrane 9 superfamily protein member 4, putative",52.87,57.03,69.27,76.36
"ACA1_201450","ACA1_201450","ADPribosylation factor, putative",61.44,63.09,73.89,66.36
"ACA1_201470","ACA1_201470","Rasrelated protein Rab-2B, putative",77.6,286.69,276.67,335.27
"ACA1_201580","ACA1_201580","6-phosphofructokinase precursor family protein",80.28,124.03,64.55,60.55
"ACA1_201650","ACA1_201650","DNA repair protein RAD51, putative",136.71,150.66,152.7,182.49
"ACA1_201660","ACA1_201660","DEADbox ATP-dependent RNA helicase 35B, putative",58.34,37.13,33.61,36.84
"ACA1_201670","ACA1_201670","DNAJ heat shock domain containing protein",41.59,42.98,38.54,42.34
"ACA1_202380","ACA1_202380","CS domain containing protein",132.17,129.11,95.17,80.57
"ACA1_202410","ACA1_202410","hypothetical protein",67.16,118.64,168.52,177.6
"ACA1_202700","ACA1_202700","branchedchain amino acid aminotransferase",125.12,30.61,44.83,60.87
"ACA1_202750","ACA1_202750","hypothetical protein",110.06,101.17,107.18,98.23
"ACA1_203020","ACA1_203020","protein pns1, putative",80.25,65.17,82.32,107.84
"ACA1_203090","ACA1_203090","glycosyl hydrolase, family 31 protein",42.81,48.34,39.42,40.25
"ACA1_203150","ACA1_203150","transcription initiation factor iia, gamma subunit, helical domain containing protein",42.19,40.98,39.85,38.79
"ACA1_203500","ACA1_203500","coatomer subunit delta1, putative",67.96,92.83,89.95,95.13
"ACA1_203650","ACA1_203650","dynamin domain containing protein",437.7,1341.74,1618.21,1389.13
"ACA1_203710","ACA1_203710","hypothetical protein",1053.13,674.14,1190.99,660.85
"ACA1_203750","ACA1_203750","PH domain containing protein",69.5,54.64,52.76,41.24
"ACA1_203760","ACA1_203760","60S ribosomal protein L23, putative",3771.17,3014.86,2501.33,2199.37
"ACA1_203900","ACA1_203900","phosphatidylethanolamine Nmethyltransferase",95.44,51.11,47.65,56.24
"ACA1_204000","ACA1_204000","hypothetical protein",52.9,35.79,34.04,32.99
"ACA1_204010","ACA1_204010","RAC GTPase",385.86,596.02,628.98,671.19
"ACA1_204020","ACA1_204020","hypothetical protein",3617.1,2850.93,2253.2,2039.95
"ACA1_204430","ACA1_204430","hypothetical protein",115.84,306.36,217.74,206.63
"ACA1_204440","ACA1_204440","hypothetical protein",61.9,6.18,12.21,17.06
"ACA1_204490","ACA1_204490","Ham1 family",73.61,53.51,49.25,51.67
"ACA1_204500","ACA1_204500","hypothetical protein",52.06,32.01,62.44,55.34
"ACA1_204570","ACA1_204570","hypothetical protein",194.76,10.71,22.79,30.9
"ACA1_205990","ACA1_205990","histidine acid phosphatase superfamily protein",55.14,76.27,72.68,74.02
"ACA1_206000","ACA1_206000","succinate dehydrogenase, cytochrome b556 subunit protein",74.66,36.24,23.06,29.43
"ACA1_206350","ACA1_206350","hypothetical protein",364.15,172.98,213.57,266.51
"ACA1_206370","ACA1_206370","molybdenum cofactor sulfuraselike protein 1, putative",49.92,48.36,59.73,70.36
"ACA1_206750","ACA1_206750","hypothetical protein",39.68,95.36,140.39,207.45
"ACA1_206870","ACA1_206870","hypothetical protein",327.41,645.29,472.83,395.07
"ACA1_207340","ACA1_207340","syntaxinlike t-SNARE protein TLG2, putative",39.42,114.88,99.03,89.06
"ACA1_207480","ACA1_207480","exported protein, putative",1301.77,1022.34,201.54,88.64
"ACA1_207820","ACA1_207820","fatty acid elongase",261.19,61.7,115.21,124.82
"ACA1_207970","ACA1_207970","Myblike DNA-binding domain containing protein",43.55,3.17,6.3,11.9
"ACA1_208090","ACA1_208090","DnaJ domain containing protein",143.18,9.35,19.99,35.59
"ACA1_208100","ACA1_208100","hypothetical protein",315.54,59,53.84,48
"ACA1_208120","ACA1_208120","hypothetical protein",298.67,244.24,194.28,206.21
"ACA1_208140","ACA1_208140","ER lumen proteinretaining receptor-like protein",61.65,80.01,74.36,94.44
"ACA1_208220","ACA1_208220","SAC3/GANP family protein",229.57,124.6,129.3,133.31
"ACA1_208240","ACA1_208240","aminotransferase, class IV superfamily protein",110.85,90.08,99.25,101.13
"ACA1_208260","ACA1_208260","acylCoA dehydrogenase, middle domain containing protein",40.98,22.21,14.75,18.55
"ACA1_208270","ACA1_208270","NADH dehydrogenase, putative",130.01,58.66,48.34,45.48
"ACA1_208340","ACA1_208340","hypothetical protein",39.93,23.8,30.26,34.97
"ACA1_208440","ACA1_208440","QaSNARE, SYP3/Sed5p/Syntaxin 5-type, putative",61.86,89.09,84.38,80.97
"ACA1_208450","ACA1_208450","hypothetical protein",691.4,1121.33,936.18,822.33
"ACA1_208600","ACA1_208600","hydrolase, alpha/beta fold domain containing protein",41.38,24.63,21.86,25.53
"ACA1_208960","ACA1_208960","hypothetical protein",41.03,15.01,10.41,8.36
"ACA1_209240","ACA1_209240","RNA recognition motif domain containing protein",422.42,31.27,7.74,6.87
"ACA1_209820","ACA1_209820","hypothetical protein",41.45,51.58,49.46,60.53
"ACA1_209830","ACA1_209830","prohibitin 2, putative",290.07,59.14,172.06,252.65
"ACA1_210380","ACA1_210380","PQ loop repeat-containing protein",40.95,10.67,17.56,21.35
"ACA1_210390","ACA1_210390","hypothetical protein",40.76,59.48,66.63,57.8
"ACA1_210510","ACA1_210510","hypothetical protein",44.73,30.54,39.04,43.85
"ACA1_210540","ACA1_210540","ABC transporter, ATPbinding domain containing protein",69.12,8.75,3.98,2.1
"ACA1_210550","ACA1_210550","hypothetical protein",73.74,7.54,3.48,1.04
"ACA1_210680","ACA1_210680","U-box domain containing protein",45.54,58.9,60.66,74.93
"ACA1_210800","ACA1_210800","riboflavin aldehydeforming enzyme, putative",122.3,54.09,66.91,26.45
"ACA1_211920","ACA1_211920","transcription factor SII (TFIIS) domain containing protein",155.83,3.05,6.83,7.11
"ACA1_211950","ACA1_211950","hypothetical protein",49.58,65.87,94.98,113.56
"ACA1_212080","ACA1_212080","hypothetical protein",75.29,38.81,54.17,70.12
"ACA1_212200","ACA1_212200","hypothetical protein",113.82,129.12,143.59,164.22
"ACA1_212840","ACA1_212840","CROP protein",58.85,37.7,43.98,43.8
"ACA1_212970","ACA1_212970","hypothetical protein",58.92,60.38,56.95,69.87
"ACA1_214330","ACA1_214330","hypothetical protein",136,31.58,35.86,41.2
"ACA1_214340","ACA1_214340","hypoxanthine-guanine phosphoribosyltransferase",630.24,388.33,223.21,258.6
"ACA1_214640","ACA1_214640","cobalaminindependent methionine synthase",417.07,165.56,14.02,10.99
"ACA1_214850","ACA1_214850","LIM domain containing protein",58.15,44.64,79.29,86.88
"ACA1_214910","ACA1_214910","expansin family protein",54.72,49.11,67.4,67.71
"ACA1_214920","ACA1_214920","hypothetical protein",127.19,78.22,65.28,70.7
"ACA1_214980","ACA1_214980","HAD hydrolase, family IA, variant 3 subfamily protein",100.7,309.11,111.82,113.11
"ACA1_215010","ACA1_215010","inorganic diphosphatase",711.42,676.5,673.52,719.28
"ACA1_215460","ACA1_215460","cyclophylin, putative",1583.16,2189.91,2872.35,3314.18
"ACA1_215470","ACA1_215470","din-acetylchitobiase 2, putative",41.47,27.43,44.1,27.64
"ACA1_215620","ACA1_215620","Rasrelated GTPase",58,192.51,177.2,126.35
"ACA1_215650","ACA1_215650","hypothetical protein",277.67,61.45,72.4,24.27
"ACA1_215900","ACA1_215900","RAP1A, member of RAS oncogene family",412.86,618.79,668.03,536.93
"ACA1_215920","ACA1_215920","SH3 domain containing protein",43.34,75.62,65.84,63.75
"ACA1_215950","ACA1_215950","hypothetical protein",466.76,57.3,924.7,1394.3
"ACA1_215980","ACA1_215980","adhesion regulating molecule region protein, putative",90.87,367.95,175.35,123.63
"ACA1_216020","ACA1_216020","cudA family protein",81.34,21.24,102.5,127.83
"ACA1_216320","ACA1_216320","homogentisate 1,2dioxygenase",83.78,79.78,82.28,83.35
"ACA1_216340","ACA1_216340","purinergic receptor, putative",41.02,42.46,45.76,44.22
"ACA1_216350","ACA1_216350","EF hand domain containing protein",53.56,65.75,58.62,48.12
"ACA1_216380","ACA1_216380","mitochondrial inner membrane magnesium transporter lpe10, putative",51.74,71.33,68.27,66.28
"ACA1_216390","ACA1_216390","MIF4G domain containing protein",135.59,38.47,40.44,38.55
"ACA1_216400","ACA1_216400","hypothetical protein",211.67,58.57,57.56,58.76
"ACA1_216440","ACA1_216440","protein phosphatase 2C domain containing protein",40.26,77.14,71.83,82.39
"ACA1_216450","ACA1_216450","maintenance of killer 16 (mak16) protein, putative",99.4,18.13,21.86,26.76
"ACA1_216690","ACA1_216690","hypothetical protein",250.19,55.84,77.06,23.48
"ACA1_217140","ACA1_217140","hypothetical protein",184.46,116.12,71.58,95.15
"ACA1_217160","ACA1_217160","hypothetical protein",414.77,383.15,430.21,561.87
"ACA1_217210","ACA1_217210","mitochondrial import receptor subunit tom40, putative",85.3,28.58,43.35,59.09
"ACA1_217260","ACA1_217260","GTPbinding protein TypA/BipA, putative",68.57,15.75,0.88,1.45
"ACA1_217280","ACA1_217280","protein kinase domain containing protein",77.83,175.35,200.64,192.91
"ACA1_217310","ACA1_217310","transmembrane proteins 14c protein",58.08,53.77,63.29,65.75
"ACA1_217360","ACA1_217360","bacterioferritin comigratory protein",221.1,378.29,418.18,378.52
