"","PDescription","TPM_Basal"
"6913","Poly(ADPribose) polymerase and DNA-Ligase Zn-finger region domain containing protein",29.33
"6914","protein phosphatase 4 regulatory subunit 1, putative",34.9
"6915","hypothetical protein",17.54
"6916","DENN (AEX-3) domain containing protein",25.39
"6917","formin domain containing protein",4.26
"6918","Ankyrin repeatcontaining protein",2.5
"6919","SH3 domain containing protein",11.39
"6920","Phosphatidylinositol4-phosphate 5-Kinase",9.94
"6921","synaptobrevin domain containing protein",76.34
"6922","hypothetical protein",11.66
"6923","Rab GTPase domain containing protein",6.93
"6924","hypothetical protein",10.16
"6925","dipeptidylpeptidase 9, putative",22.17
"6926","Dedicator of cytokinesis",10.72
"6927","hypothetical protein",61.39
"6928","hypothetical protein",37.3
"6929","SPRY domain containing protein",41.5
"6930","Hypothetical protein",238.45
"6931","hypothetical protein",77.83
"6932","transducin family protein",30.25
"6933","fasciclin domain containing protein",139.92
"6934","hypothetical protein",30.73
"6935","cytochrome P450, putative",771.26
"6936","Rasrelated protein O-RAL, putative",40.78
"6937","pentatricopeptide repeat domain/PPR repeatcontaining protein",40.43
"6938","peptide chain release factor eRF/aRF, subunit 1, putative",203.32
"6939","protein kinase domain containing protein",12.09
"6940","ubiquitin domain containing protein",16.83
"6941","40S ribosomal protein S9",50.25
"6942","methyltransferase, FkbM subfamily protein",0.17
"6943","RhoGEF domain containing protein",12.8
"6944","regulator of chromosome condensation (RCC1) repeat domain containing protein",17.44
"6945","PAP/25A associated domain containing protein",28.22
"6946","hypothetical protein",11.35
"6947","nucleoporin, putative",21.32
"6948","RasGEF domain containing protein",70.34
"6949","coppertranslocating P-type ATPase",9.23
"6950","endonuclease/exonuclease/phosphatase family protein",29.39
"6951","RhoGAP domain containing protein",21.22
"6952","dual specificity phosphatase, catalytic domain containing protein",10.75
"6953","Ubiquitin carboxylterminal hydrolase",21.54
"6954","eukaryotic translation initiation factor 3 subunit k, putative",123.74
"6955","transmembrane proteins 14c protein",113.6
"6956","SH3 domain containing protein",32.9
"6957","F-box domain containing protein",5.85
"6958","hypothetical protein",13.61
"6959","EGFlike domain containing protein",80.31
"6960","ADPribosylation factor related protein 1, putative",16.72
"6961","pseudouridine synthase Rsu, putative",23.74
"6962","histidine acid phosphatase superfamily protein",24.84
"6963","replication factora protein 1 (rpa1) subfamily protein",59.94
"6964","PCI domain containing protein",103.38
"6965","hypothetical protein",13.61
"6966","hypothetical protein",156.95
"6967","putative phospholipidtransporting ATPase ID (ATPase class I type 8B member 2), putative",8.74
"6968","MHC I Cterminus family protein",6.93
"6969","protein kinase domain containing protein",11.57
"6970","Ras subfamily protein",1.93
"6971","hypothetical protein",32.43
"6972","hypothetical protein",0.11
"6973","hypothetical protein",75.82
"6974","hypothetical protein",213.09
"6975","hypothetical protein",140.13
"6976","midasin family protein",1.69
"6977","hypothetical protein",8.23
"6978","hypothetical protein",0.6
"6979","hypothetical protein",2.35
"6980","protein kinase domain/MORN repeatcontaining protein",79.52
"6981","hypothetical protein",47.92
"6982","mitochondrial ribosomal protein L51/S25/CIB8 family protein",337.24
"6983","hypothetical protein",10.78
"6984","C5 cytosine-specific DNA methylase superfamily protein",19.16
"6985","hypothetical protein",18.01
"6986","hypothetical protein",61.16
"6987","protein sym1, putative",235.97
"6988","Ser/Thr protein kinase",31.03
"6989","hypothetical protein",27.94
"6990","RNA-binding domain-containing protein",58.21
"6991","FAT domain containing protein",38.03
"6992","TRRAP family protein",11.83
"6993","hypothetical protein",232.67
"6994","tRNA guanosine2'-O-methyltransferase, putative",67.83
"6995","hypothetical protein",54.71
"6996","Peptide-aspartate beta-dioxygenase",60.68
"6997","tetratricopeptide repeat domain containing protein",21.8
"6998","hypothetical protein",438.7
"6999","hypothetical protein",59.15
"7000","Rasrelated C3 botulinum toxin substrate 1 precursor, putative",3.6
"7001","RasGEF domain containing protein",34.7
"7002","hypothetical protein",258.07
"7003","nucleolar protein Nop56, putative",538
"7004","HEAT repeat domain containing protein",31.09
"7005","STAS domain containing protein",11.53
"7006","sulfate permease subfamily protein",10.39
"7007","PHDfinger domain containing protein",4.76
"7008","hypothetical protein",6.85
"7009","Poly(ADPribose) polymerase catalytic domain containing protein",6.87
"7010","4nitrophenylphosphatase-like protein",27.33
"7011","amyloid beta precursor proteinbinding protein 1 isoform 6, putative",115.31
"7012","hypothetical protein",4.12
"7013","partitioning defective 1, putative",8.42
"7014","hypothetical protein",0.56
"7015","hypothetical protein",0.78
"7016","hypothetical protein",2.1
"7017","hypothetical protein",0.42
"7018","cathepsin L, putative",0.35
"7019","translocase of the inner mitochondrial membrane 14 isoform a, putative",36.42
"7020","hypothetical protein",58.82
"7021","hypothetical protein",0.17
"7022","hypothetical protein",0.36
"7023","hypothetical protein",0.62
"7024","THUMP domain containing protein",10.9
"7025","acylCoenzyme A dehydrogenase family, member 10 isoform 7, putative",21.78
"7026","diazepam binding inhibitor isoform 1, putative",35.25
"7027","electron transport SCO1/SenC family protein",115.86
"7028","hypothetical protein",2.86
"7029","hypothetical protein",4.38
"7030","hypothetical protein",8.77
"7031","hypothetical protein",15.98
"7032","jumonji domain containing 7 family protein",13.84
"7033","hypothetical protein",1.78
"7034","histidine kinase A family protein",16.95
"7035","hypothetical protein",0.56
"7036","Phosphatidylinositol4 phosphate 5-kinase, putative",16.19
"7037","Ras subfamily protein",20.22
"7038","hypothetical protein",0.55
"7039","hypothetical protein",9.35
"7040","betatransducin repeat containing protein, putative",5.5
"7041","Fbox domain containing protein",3.29
"7042","hypothetical protein",4.23
"7043","CrcB family protein",5.91
"7044","hypothetical protein",47.47
"7045","GRAM domain containing protein",6.05
"7046","phosphoinositide 3kinase family, accessory domain (pik domain) domain containing protein",22.07
"7047","hypothetical protein",7.64
"7048","autophagy protein, putative",50.35
"7049","ribosomal protein S17, putative",2659.84
"7050","vacuolar protein sorting 33",18.48
"7051","hypothetical protein",25.37
"7052","uracilDNA glycosylase",23.59
"7053","hypothetical protein",0.05
"7054","hypothetical protein",2.81
"7055","enoylCoA hydratase/isomerase family domain containing protein",170.58
"7056","hypothetical protein",14.52
"7057","hypothetical protein",10.56
"7058","hypothetical protein",0.15
"7059","hypothetical protein",0.03
"7060","PX domain containing protein",29.45
"7061","BTB/POZ domain containing protein",8.07
"7062","ribosomal protein L22 family protein",127.93
"7063","MethylcrotonoylCoA carboxylase beta chain, mitochondrial, putative",81
"7064","WD repeat domain 5B, putative",26.21
"7065","hypothetical protein",4.67
"7066","hypothetical protein",17.86
"7067","hypothetical protein",2.78
"7068","hypothetical protein",0.76
"7069","hypothetical protein",1.79
"7070","hypothetical protein",1.82
"7071","potassium channel beta 2 subunit isoform 1, putative",22.79
"7072","hypothetical protein",4.58
"7073","thioredoxin domain containing protein",27.5
"7074","hypothetical protein",1.06
"7075","hypothetical protein",7.44
"7076","SAM domain (Sterile alpha motif) domain containing protein",5.06
"7077","RNA recognition motif domain containing protein",22
"7078","hypothetical protein",12.16
"7079","hypothetical protein",30.7
"7080","Adenylosuccinate lyase 1, putative",80.79
"7081","adenylosuccinate synthase",169.7
"7082","MED6 mediator sub complex component protein",31.45
"7083","hypothetical protein",13.67
"7084","carbamoylphosphate synthase, large subunit",7.17
"7085","argininosuccinate lyase, putative",1.82
"7086","osteoclaststimulating factor, putative",91.63
"7087","transcription factor sii (tfiis), central domain containing protein",22.8
"7088","cytochrome b-like heme/steroid binding domain containing protein",153.26
"7089","integral membrane protein",30.66
"7090","homeobox prox 1, putative",30.74
"7091","Pumiliofamily RNA binding repeat domain containing protein",62.87
"7092","CNH domain containing protein",18.19
"7093","glycosyltransferase, group 1 domain containing protein",63.78
"7094","hypothetical protein",18.06
"7095","hypothetical protein",28.39
"7096","ATPdependent DNA helicase",26.25
"7097","PXMP2/4 family protein 3, putative",668.29
"7098","atpdependent rna helicase ddx10, putative",29.75
"7099","hypothetical protein",49.36
"7100","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",0.76
"7101","MATE efflux family subfamily protein",25.06
"7102","RFX DNAbinding domain containing protein",5.29
"7103","ankyrin repeat protein, putative",17.68
"7104","G patch domain containing protein 1, putative",17.8
"7105","zinc finger in N-recognin protein",17.82
"7106","hypothetical protein",56.99
"7107","hypothetical protein",286.28
"7108","RNA recognition motif domain containing protein",161.33
"7109","methylthioribulose1-phosphate dehydratase",681.63
"7110","hypothetical protein",18.6
"7111","Myblike DNA-binding domain containing protein",47.32
"7112","farnesyl pyrophosphate synthetase",362.38
"7113","rhodaneselike domain containing protein",11.49
"7114","hypothetical protein",59.4
"7115","SEC13, putative",219.09
"7116","alkaline phosphatase D domain containing protein",35.88
"7117","Hypothetical protein",13.9
"7118","aarF domain containing kinase 5, putative",16.49
"7119","hypothetical protein",80.96
"7120","DTW domain containing protein, putative",6.91
"7121","Mphase phosphoprotein 10, putative",17.07
"7122","kelch repeat-containing protein",13.92
"7123","hypothetical protein",3.68
"7124","cysteine synthase 2, putative",23.01
"7125","cysteine synthase, putative",14.75
"7126","hypothetical protein",8.28
"7127","hypothetical protein",56.78
"7128","homeobox domain containing protein",38.04
"7129","prenylated rab acceptor 1, putative",27.54
"7130","hypothetical protein",58.3
"7131","deoxyadenosine kinase",15.82
"7132","hypothetical protein",13.52
"7133","cytochrome p450 superfamily protein",5.4
"7134","transporter, major facilitator subfamily protein",0.12
"7135","redoxin domain containing protein",0.63
"7136","hypothetical protein",33.13
"7137","hypothetical protein",123.48
"7138","hypothetical protein",0.15
"7139","hypothetical protein",36.34
"7140","hypothetical protein",339.18
"7141","LysM domain containing protein",28.68
"7142","PhytanoylCoA dioxygenase (PhyH) superfamily protein",0.71
"7143","hypothetical protein",18.34
"7144","tyrosine protein kinase, putative",9.52
"7145","hypothetical protein",0.07
"7146","hypothetical protein",0.05
"7147","hypothetical protein",161.1
"7148","hypothetical protein",13.59
"7149","hypothetical protein",8.98
"7150","Copia protein (Gagint-pol protein), putative",0.01
"7151","short chain dehydrogenase/reductase family",46.13
"7152","hypothetical protein",68.12
"7153","tetratricopeptide repeat domain containing protein",0.83
"7154","FGGAP repeat-containing protein",10.31
"7155","hypothetical protein",9.36
"7156","ATPdependent protease HslVU, peptidase subunit",91.77
"7157","hypothetical protein",33.13
"7158","L-2-hydroxyglutarate dehydrogenase, mitochondrial precursor, putative",8.02
"7159","hypothetical protein",21.88
"7160","transporter, major facilitator subfamily protein",7.26
"7161","BTB/POZ domain containing protein",4.83
"7162","lysosomal betagalactosidase",23.94
"7163","EF hand,SPla/RYanodine receptor (SPRY) domain containing protein",46.9
"7164","protein kinase domain containing protein",12.28
"7165","hydrolase, alpha/beta fold domain containing protein",55.37
"7166","erythronate4-phosphate dehydrogenase domain containing protein",84.25
"7167","biotin holocarboxylase synthetase/biotinprotein ligase",45.91
"7168","leucine rich repeat domain containing protein",8.39
"7169","hypothetical protein",6.8
"7170","Peptidylprolyl isomerase FKBP12, putative",191.69
"7171","GDPD-mannose-3',5'-epimerase",1.55
"7172","hypothetical protein",2.05
"7173","ankyrin 2",1.21
"7174","kinase, pfkB superfamily protein",16.7
"7175","hypothetical protein",0.1
"7176","citrate synthase, mitochondrial, putative",799.78
"7177","DUF1264 domain protein",45
"7178","carboxylesterase superfamily protein",209.93
"7179","ankyrin repeat-containing protein",5.27
"7180","Phospholipase Blike protein, putative",36
"7181","Synapsin, ATP binding domain containing protein",15.52
"7182","glycosyl hydrolase, family 18 domain containing protein",7.29
"7183","hypothetical protein",9.58
"7184","hypothetical protein",0.01
"7185","ATPdependent DNA ligase domain containing protein",14.01
"7186","hypothetical protein",58.9
"7187","slime mold cyclic amp receptor protein",15.24
"7188","hypothetical protein",3.19
"7189","aspartate-tRNA ligase",74
"7190","hypothetical protein",4.79
"7191","acylCoA dehydrogenase, C-terminal domain containing protein",55
"7192","hypothetical protein",1.25
"7193","hypothetical protein",15.75
"7194","phosphatidylinositol phosphate kinase PIPK5, putative",21.13
"7195","glycerate kinase subfamily protein",16.95
"7196","Hsp20/alpha crystallin family protein",587.1
"7197","signal recognition particle 9 kDa protein",112.65
"7198","GTPase activating Rap/RanGAP domainlike 3, putative",2.29
"7199","hypothetical protein",12.34
"7200","phosphoesterase family protein",22.01
"7201","hypothetical protein",7.28
"7202","ProteinS-isoprenylcysteine O-methyltransferase",29.31
"7203","RWD domain containing protein",5.69
"7204","hypothetical protein",135.26
"7205","hypothetical protein",17.03
"7206","RHOD YceA domain containing protein",28.14
"7207","HMG (high mobility group) box domain containing protein",8.55
"7208","ribosomal protein s27a, putative",3368.38
"7209","hypothetical protein",8.85
"7210","Cdc20, putative",6.53
"7211","hypothetical protein",4.41
"7212","PHDfinger domain containing protein",12.04
"7213","hypothetical protein",41.05
"7214","Hypothetical protein",163.66
"7215","hypothetical protein",9.51
"7216","hypothetical protein",34.49
"7217","arsenic (+3 oxidation state) methyltransferase",35.76
"7218","hypothetical protein",36.03
"7219","Myblike DNA-binding domain containing protein",8.94
"7220","26S protease regulatory subunit 6B family protein",76.17
"7221","pathogenesisrelated protein PR-6 type, putative",0.03
"7222","protein kinase domain containing protein",6.52
"7223","protein kinase domain containing protein",0.01
"7224","hypothetical protein",0.07
"7225","hypothetical protein",0.18
"7226","RhoGEF domain containing protein",14.41
"7227","SNF1 related protein kinase, putative",15.62
"7228","hypothetical protein",0.08
"7229","SPFH domain / Band 7 domain containing protein",5.76
"7230","Phytanoyl-CoA dioxygenase",10.7
"7231","Ankyrin repeatcontaining protein",7.33
"7232","hypothetical protein",12.62
"7233","Importin beta domain containing protein",11.17
"7234","ABC transporter, ATPbinding domain containing protein",1.6
"7235","DEAD/DEAH box helicase domain containing protein",10.57
"7236","homeobox domain containing protein",1.44
"7237","hypothetical protein",15.97
"7238","tubulin alpha1a chain, putative",0.57
"7239","ABC transporter, ATPbinding domain containing protein",9.18
"7240","fungal Zn(2)-Cys(6) binuclear cluster domain containing protein",6.43
"7241","galactose binding lectin domain containing protein",204.8
"7242","hypothetical protein",4.43
"7243","ABC2 type transporter superfamily protein",13.56
"7244","hypothetical protein",8.94
"7245","cathepsin Llike proteinase",83.07
"7246","Solute carrier family 29 (nucleoside transporters), member 1, putative",19.72
"7247","soluble guanylyl cyclase beta1 subunit, putative",11.99
"7248","3beta hydroxysteroid dehydrogenase/isomerase family protein",27.68
"7249","tumor protein p53 inducible protein 3, putative",50.48
"7250","hypothetical protein",8.92
"7251","hypothetical protein",0.02
"7252","agarase, putative",0.64
"7253","AlphaN-acetylglucosaminidase, putative",0.84
"7254","alpha-N-acetylglucosaminidase family protein",4.38
"7255","protein kinase domain containing protein",9.03
"7256","hydrolase, NUDIX domain containing protein",72.78
"7257","zinc finger, C3HC4 type (RING finger) domain containing protein",24.18
"7258","hypothetical protein",8.94
"7259","hypothetical protein",25.46
"7260","SPRY domain containing protein",6.96
"7261","5'3' exonuclease, SAM domain containing protein",10.95
"7262","growth hormoneinducible transmembrane protein, putative",71.26
"7263","calpain family cysteine protease domain containing protein",9.45
"7264","hypothetical protein",11.14
"7265","hypothetical protein",0.49
"7266","hypothetical protein",168.24
"7267","hypothetical protein",0.05
"7268","hypothetical protein",0.02
"7269","hypothetical protein",10.55
"7270","histidinolphosphate transaminase",33.85
"7271","Yip1 domain containing protein",43.13
"7272","hypothetical protein",64.02
"7273","WD domain, Gbeta repeat domain containing protein",7.83
"7274","hypothetical protein",14.59
"7275","hypothetical protein",10.61
"7276","DNA repair and recombination protein RAD54, putative",19.25
"7277","hypothetical protein",38.36
"7278","hypothetical protein",0.02
"7279","imidazoleglycerolphosphate dehydratase",78.6
"7280","LIM domain containing protein",15.85
"7281","serine/threonine protein kinase",6.85
"7282","hypothetical protein",9.73
"7283","hypothetical protein",17.29
"7284","hypothetical protein",12.97
"7285","PKD domain containing protein",2.46
"7286","Hypothetical protein",12.58
"7287","FYVE zinc finger domain containing protein",28.78
"7288","EF hand domain containing protein",24.04
"7289","EF hand domain containing protein",40.34
"7290","hypothetical protein",14.61
"7291","hypothetical protein",0.16
"7292","poly (ADPribose) glycohydrolase",1.58
"7293","proteasome activator subunit 4, putative",13.64
"7294","acetyltransferase, GNAT superfamily protein",7.75
"7295","thiol-disulfide oxidoreductase DCC, putative",65
"7296","BTB/POZ domain containing protein",2.93
"7297","hypothetical protein",39.51
"7298","hypothetical protein",31.91
"7299","hypothetical protein",42.52
"7300","hypothetical protein",3.72
"7301","hypothetical protein",37.12
"7302","GAF domain containing protein",13.35
"7303","dual specificity phosphatase, catalytic domain containing protein",130.16
"7304","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",2.24
"7305","hypothetical protein",0.02
"7306","tyrosine phosphatase, putative",0.01
"7307","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",1.23
"7308","tyrosine phosphataselike protein, putative",1.45
"7309","hypothetical protein",0.01
"7310","hypothetical protein",18.76
"7311","PH domain containing protein",1.84
"7312","RhoGEF domain containing protein",2.35
"7313","hypothetical protein",0.53
"7314","RhoGAP domain containing protein",9.03
"7315","ADPribosylation factor subfamily protein",26.1
"7316","MYND finger domain containing protein",17.93
"7317","ExportinT, putative",8.7
"7318","fatty acid desaturase subfamily protein",79.63
"7319","delta5 fatty acid desaturase",31.1
"7320","golgi family protein, putative",35.23
"7321","protein kinase domain containing protein",22.49
"7322","hypothetical protein",10.37
"7323","hypothetical protein",21.76
"7324","Synapsin, ATP binding domain containing protein",40.51
"7325","BRCT domain containing protein, putative",1.04
"7326","hypothetical protein",2.95
"7327","hypothetical protein",4.1
"7328","hypothetical protein",0.67
"7329","hypothetical protein",1.09
"7330","hypothetical protein",0.04
"7331","UTP-glucose-1-phosphate uridylyltransferase",1.04
"7332","hypothetical protein",11.99
"7333","heme NO binding domain containing protein",5.34
"7334","heme NO binding domain containing protein",2.7
"7335","origin recognition complex subunit",1.76
"7336","SAM (and some other nucleotide) binding motif domain containing protein",0.56
"7337","transporter, major facilitator subfamily protein",2.38
"7338","hypothetical protein",0.59
"7339","Cys/Met metabolism PLPdependent enzyme superfamily protein",11.53
"7340","RNA ligase, T4 RnlA family protein",3.37
"7341","hypothetical protein",7.79
"7342","hypothetical protein",0.21
"7343","hypothetical protein",0.09
"7344","hypothetical protein",2.94
"7345","protein kinase domain containing protein",32.33
"7346","zincbinding dehydrogenase family oxidoreductase",19.69
"7347","ankyrin repeat domain containing protein",4.39
"7348","hypothetical protein",6.81
"7349","hypothetical protein",8.08
"7350","hypothetical protein",214.64
"7351","tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)binding domain containing protein",8.5
"7352","hypothetical protein",10.41
"7353","hypothetical protein",4.66
"7354","tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)binding domain containing protein",32.25
"7355","hypothetical protein",1.46
"7356","hypothetical protein",19.94
"7357","chorismate mutase subfamily protein",283.49
"7358","Carbohydrate binding domain CBM49 domain containing protein",0.07
"7359","oxidoreductase NADbinding domain containing protein",131.45
"7360","ATP:cob(I)alamin adenosyltransferase",19.8
"7361","ubiquitinconjugating enzyme E2, putative",438.23
"7362","Fbox domain containing protein",48.21
"7363","importin 13, putative",5.1
"7364","Omethyltransferase domain containing protein",0.08
"7365","hypothetical protein",4.86
"7366","hypothetical protein",4
"7367","isocitrate dehydrogenase, NADPdependent, putative",707.72
"7368","IBR domain containing protein",7.08
"7369","leucine-tRNA ligase",48.24
"7370","Inosine-uridine preferring nucleoside hydrolase superfamily protein",0.7
"7371","basic calponin isoform 4, putative",26.88
"7372","SCPlike extracellular subfamily protein",1.42
"7373","charged multivesicular body protein 2a, putative",22.15
"7374","hypothetical protein",13.64
"7375","tRNA intron endonuclease, catalytic Cterminal subfamily protein",4.46
"7376","metaxin 1, putative",32.96
"7377","GATA zinc finger domain containing protein",6.4
"7378","adenosylmethionine decarboxylase",151.53
"7379","transmembrane protein 66, putative",53.44
"7380","ABC transporter, ATPbinding domain containing protein",1.47
"7381","IPT/TIG domain containing protein",24.24
"7382","hypothetical protein",0.59
"7383","AcylCoA-binding domain containing protein",13.77
"7384","calcium binding egf domain containing protein",90.13
"7385","Glycolipid transfer protein (GLTP), putative",42.5
"7386","IgA-specific serine endopeptidase",1.62
"7387","chorismate mutase subfamily protein",41.39
"7388","hypothetical protein",0.16
"7389","Fbox domain containing protein",23.39
"7390","COP9 signalosome complex subunit 3 (Signalosome subunit 3), putative",54.42
"7391","CRAL/TRIO domain containing protein",8.48
"7392","PH domain containing protein",0.44
"7393","hypothetical protein",221.28
"7394","hypothetical protein",2.71
"7395","hypothetical protein",21.1
"7396","IgA-specific serine endopeptidase",0.99
"7397","hypothetical protein",2.29
"7398","golgi family protein, putative",0.69
"7399","DNA repair and recombination protein RAD52, putative",16.85
"7400","phytanoylCoA dioxygenase domain containing 1 (predicted), putative",9.11
"7401","AT hook motif domain containing protein",17.2
"7402","SNARE associated Golgi protein",40.17
"7403","Mphase phosphoprotein 6, putative",12.75
"7404","erythromycin esterase",2.69
"7405","communication mutant protein f, putative",0.56
"7406","diphthamide biosynthesis protein 1, putative",22.39
"7407","hypothetical protein",4.91
"7408","Bystin, putative",3.35
"7409","Hypothetical protein",7.27
"7410","nucleoporin, putative",0.49
"7411","nucleoporin protein",3.25
"7412","hypothetical protein",39.28
"7413","hypothetical protein",41.74
"7414","transporter, major facilitator subfamily protein",24.78
"7415","hypothetical protein",30.51
"7416","Dyptype peroxidase superfamily protein",66.98
"7417","Proline dehydrogenase, putative",2.69
"7418","hypothetical protein",26.59
"7419","hypothetical protein",7.38
"7420","hypothetical protein",13.31
"7421","PB1 domain containing protein",77
"7422","BTB/POZ domain containing protein",7.72
"7423","protein disulfideisomerase domain containing protein",92.47
"7424","von Willebrand factor type A domain containing protein",26.91
"7425","chloride transporter, chloride channel (ClC) subfamily protein",36.9
"7426","hypothetical protein",24.48
"7427","zinc finger (CCCHtype) family protein",79.23
"7428","viral life cyclerelated protein",43.88
"7429","transcriptional regulatorrelated, putative",37.36
"7430","hypothetical protein",50.9
"7431","hypothetical protein",365.04
"7432","BTB/POZ domain containing protein",64.16
"7433","hypothetical protein",0.39
"7434","bifunctional aspartate kinase/diaminopimelate decarboxylase protein",28.36
"7435","hypothetical protein",10.91
"7436","RhoGEF domain containing protein",2.84
"7437","transporter, major intrinsic protein (MIP) superfamily protein",101.98
"7438","EF hand domain containing protein",48.09
"7439","NOL1/NOP2/sun domain containing protein",32.89
"7440","NOL1/NOP2/Sun domain family, member 2, putative",53.97
"7441","GYF domain containing protein",25.84
"7442","protein bcp1, putative",45.2
"7443","partner of sld five, psf2 protein",15.12
"7444","hypothetical protein",1.92
"7445","hypothetical protein",17.56
"7446","licheninase",0.29
"7447","DEAD/DEAH box helicase domain containing protein",3.67
"7448","hypothetical protein",24.51
"7449","universal stress domain containing protein",97.31
"7450","glycosyltransferase, group 1 domain containing protein",3.94
"7451","uroporphyrinogenIII synthase",54.55
"7452","holo[acyl-carrier-protein] synthase",71.11
"7453","phosphatidate cytidylyltransferase",86.44
"7454","Longevityassurance protein (LAG1) domain containing protein",56.92
"7455","carrier superfamily protein",59.38
"7456","TM2 domain containing protein",0.08
"7457","Synapsin, ATP binding domain containing protein",9.32
"7458","hydrolase, carbonnitrogen superfamily protein",24.15
"7459","hypothetical protein",44.14
"7460","ABC transporter A family protein",18.76
"7461","hypothetical protein",10.7
"7462","EGFlike domain containing protein",1.89
"7463","hypothetical protein",2.85
"7464","beta-lactamase",1.33
"7465","hypothetical protein",58.59
"7466","heat shock 70kDa protein 5 (glucoseregulated protein, 78kDa), putative",1667.09
"7467","ubiquitin-specific protease, putative",27.39
"7468","NADbinding domain 4 domain containing protein",13.86
"7469","RasGEF domain containing protein",1.8
"7470","hypothetical protein",4.16
"7471","protein kinase domain containing protein",22.98
"7472","RNA recognition motif domain containing protein",78.86
"7473","K+ channel tetramerisation subfamily protein",7.67
"7474","DNAdirected RNA polymerase II subunit RPB7, putative",59.7
"7475","glutathione S-transferase family protein, putative",166.53
"7476","RhoGAP domain containing protein",15.52
"7477","hypothetical protein",9.45
"7478","hypothetical protein",0.87
"7479","hypothetical protein",76.88
"7480","hypothetical protein",37.08
"7481","CUE domain containing protein",24.24
"7482","hypothetical protein",7.16
"7483","triosephosphate isomerase",253.62
"7484","small nuclear RNA activating complex, polypeptide 3, 50kDa, putative",19.34
"7485","ribosomal protein L21e, putative",3885.86
"7486","integrator complex subunit 9, putative",10.54
"7487","CS domain containing protein",46.5
"7488","hypothetical protein",37.32
"7489","phosphoenolpyruvate carboxykinase (GTP), putative",651.7
"7490","RNA recognition motif domain containing protein",82.48
"7491","asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase) family protein",78.98
"7492","Peroxisomal biogenesis factor 12, putative, Peroxisome assembly protein, putative",48.77
"7493","hypothetical protein",45.67
"7494","ribosomal protein L13, putative",178.97
"7495","phosphogluconate dehydrogenase (decarboxylating), Cterminal domain containing protein",513.71
"7496","cation diffusion facilitator family transporter superfamily protein",95.77
"7497","myosin head (motor domain) domain containing protein",6.45
"7498","hypothetical protein",13.96
"7499","Ras subfamily protein",22.64
"7500","hypothetical protein",7.92
"7501","Ser/Thr phosphatase family superfamily protein",11.31
"7502","calcium/ calmodulindependent protein kinase 1, putative",61.33
"7503","hypothetical protein",69.34
"7504","Proteintyrosine phosphatase",80.01
"7505","calponin domain containing protein",93.54
"7506","hypothetical protein",20.24
"7507","protein kinase domain containing protein",12.06
"7508","PCI domain containing protein",190.61
"7509","cystathionine gammasynthase",267.01
"7510","ubiquitinactivating enzyme E1 1, putative",33.28
"7511","hypothetical protein",352.78
"7512","multiple WD domain, Gbeta repeat domain containing protein",20.33
"7513","initiation factor eif4 gamma, middle, putative",43.52
"7514","hypothetical protein",13.52
"7515","hypothetical protein",359.94
"7516","RhoGEF domain containing protein",37.31
"7517","mitochondrial ribosomal protein l51 / s25 / cib8 domain containing protein",298.98
"7518","hypothetical protein",14.63
"7519","K+ channel tetramerisation subfamily protein",7.45
"7520","ABC2 type transporter superfamily protein",1.76
"7521","HECTdomain (ubiquitin-transferase) domain containing protein",9.91
"7522","methyltransferase domain containing protein",5.72
"7523","hypothetical protein",26.87
"7524","OTUlike cysteine protease domain containing protein",2.08
"7525","Fbox domain containing protein",13.42
"7526","ganglioside gm2 activator precursor, putative",28.95
"7527","Hypothetical protein",28.63
"7528","hypothetical protein",5.53
"7529","hypothetical protein",0.03
"7530","periplasmic phosphate binding protein, putative",10.18
"7531","Fbox domain containing protein",2.9
"7532","translation initiation factor eif2b subunit beta, putative",81.13
"7533","RNA recognition motif domain containing protein",21.8
"7534","glycerol kinase",12.11
"7535","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",253.45
"7536","ankyrin repeat-containing protein",5.95
"7537","RNA recognition motif domain containing protein",0.03
"7538","actin subfamily protein",5.55
"7539","hypothetical protein",0.35
"7540","multiple Ankyrin repeat domain containing protein",8.23
"7541","basic helixloop-helix (bHLH) family protein",8.47
"7542","hypothetical protein",17.31
"7543","leucine rich repeat-containing protein",14.84
"7544","carrier superfamily protein",6.16
"7545","hypothetical protein",68.08
"7546","hypothetical protein",5.51
"7547","Hypothetical protein",3.58
"7548","metallophosphoesterase",2.5
"7549","Serine/threonine protein phosphatase",3.73
"7550","RasGEF domain containing protein",12.3
"7551","Peptide-aspartate beta-dioxygenase",19.61
"7552","serine incorporator 3, putative",59.61
"7553","hypothetical protein",100.09
"7554","hypothetical protein",875.74
"7555","polyubiquitin 4 UBQ4, putative",103.4
"7556","glycerophosphoryl diester phosphodiesterase family protein",59.12
"7557","macro domain containing protein",37.93
"7558","DEAD/DEAH box helicase domain containing protein",15.29
"7559","WD40 repeat family protein",5.73
"7560","hypothetical protein",41.44
"7561","DnaJ domain containing protein",10.04
"7562","regulator of g protein signaling domain containing protein",3.37
